                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0756,                0.57855,                 1.0058,                0.95996,                0.92261,                0.95895,                 0.6569,                 1.1025,                0.61991,                 1.0313,             0.00073181,             0.00073181,             0.00073181
                     36,                 1.0861,                0.59116,                 1.0095,                0.97041,                0.91094,                0.96078,                0.64976,                 1.1278,                 0.6324,                 1.0438,             0.00070431,             0.00070431,             0.00070431
                     37,                 1.0292,                0.55221,                0.99783,                0.94282,                0.92859,                0.95298,                0.61446,                 1.2062,                0.65652,                 1.0731,              0.0006768,              0.0006768,              0.0006768
                     38,                 1.0446,                0.56218,                 1.0068,                0.97087,                0.90781,                0.95862,                0.59224,                 1.2442,                0.63865,                 1.0889,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.0335,                0.55307,                0.99372,                0.95944,                0.92927,                0.96691,                0.60772,                 1.1343,                0.60538,                 1.0368,             0.00062179,             0.00062179,             0.00062179
                     40,                 1.0373,                0.54793,                0.99616,                0.91906,                0.91875,                0.95402,                0.64663,                 1.0754,                0.57648,                 1.0222,             0.00059429,             0.00059429,             0.00059429
                     41,                 1.0221,                0.54287,                0.99636,                0.93366,                0.94003,                0.96205,                0.67642,                 1.0583,                0.58668,                 1.0161,             0.00056678,             0.00056678,             0.00056678
                     42,                 1.0177,                0.53859,                0.98555,                0.94612,                0.90547,                0.93886,                 0.6229,                 1.1306,                 0.5931,                 1.0372,             0.00053927,             0.00053927,             0.00053927
                     43,                 1.0075,                0.53181,                0.99563,                0.94401,                0.93503,                0.95997,                0.62742,                 1.1181,                0.57557,                 1.0364,             0.00051177,             0.00051177,             0.00051177
                     44,                0.99467,                0.52011,                0.98752,                0.95036,                 0.9375,                0.96714,                0.67345,                 1.0446,                0.55971,                 1.0017,             0.00048426,             0.00048426,             0.00048426
                     45,                0.97429,                0.52604,                0.97795,                0.94414,                 0.9375,                0.96933,                0.68873,                 1.0708,                0.55786,                  1.013,             0.00045676,             0.00045676,             0.00045676
                     46,                0.98585,                0.51303,                0.98217,                0.97889,                0.93066,                0.96502,                 0.6497,                 1.1486,                0.55975,                 1.0422,             0.00042925,             0.00042925,             0.00042925
                     47,                0.96921,                0.50544,                0.98124,                0.96437,                0.91563,                0.96363,                0.63516,                 1.1855,                0.57836,                 1.0584,             0.00040175,             0.00040175,             0.00040175
                     48,                0.97387,                0.50409,                0.97243,                 0.9188,                0.94844,                0.96117,                0.63651,                 1.1571,                0.55346,                  1.039,             0.00037424,             0.00037424,             0.00037424
                     49,                0.97349,                0.49167,                0.97338,                0.93023,                0.92812,                0.94745,                0.59704,                 1.0972,                  0.552,                 1.0228,             0.00034674,             0.00034674,             0.00034674
                     50,                 0.9569,                0.50266,                0.97167,                0.94527,                0.93906,                 0.9528,                0.64048,                 1.1589,                0.56872,                 1.0316,             0.00031923,             0.00031923,             0.00031923
                     51,                0.95099,                0.52317,                0.96855,                0.95397,                0.90428,                 0.9552,                 0.6294,                 1.1209,                0.67043,                 1.0384,             0.00029172,             0.00029172,             0.00029172
                     52,                0.92583,                0.49277,                 0.9597,                0.91279,                0.92969,                 0.9579,                0.63021,                 1.1533,                0.62083,                 1.0387,             0.00026422,             0.00026422,             0.00026422
                     53,                0.90329,                0.46767,                0.95277,                0.94685,                0.94219,                0.96231,                0.63311,                 1.1442,                0.56848,                 1.0361,             0.00023671,             0.00023671,             0.00023671
                     54,                0.89131,                0.46116,                0.94832,                0.95256,                0.94264,                0.96001,                 0.6626,                 1.1356,                0.56342,                 1.0223,             0.00020921,             0.00020921,             0.00020921
                     55,                 0.8721,                0.45304,                0.94254,                0.95007,                0.94531,                0.96253,                0.65967,                 1.1035,                0.55664,                 1.0114,              0.0001817,              0.0001817,              0.0001817
                     56,                0.86307,                0.45012,                 0.9401,                0.95078,                 0.9434,                 0.9624,                0.64102,                 1.0865,                0.54832,                 1.0146,              0.0001542,              0.0001542,              0.0001542
                     57,                0.85579,                0.44885,                0.93042,                0.94985,                0.94652,                0.96178,                0.65058,                 1.0773,                0.54376,                 1.0137,             0.00012669,             0.00012669,             0.00012669
                     58,                 0.8551,                0.43874,                0.93195,                0.92255,                0.94688,                0.96289,                0.61489,                 1.1199,                0.54372,                 1.0284,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                0.84649,                0.43319,                0.93059,                0.91145,                0.94848,                0.96353,                0.62407,                   1.09,                0.53668,                 1.0188,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                0.85032,                0.43884,                0.93472,                0.91056,                0.94688,                0.96381,                0.63551,                 1.0991,                0.53412,                   1.02,             4.4176e-05,             4.4176e-05,             4.4176e-05
